root,m_lemma,m_gender,m_definition,f_lemma,f_gender,f_definition,n_lemma,n_gender,n_definition
tally,tallyman,N,one who sells goods on the installment plan,,,,,,
taxi,taximan,N,someone who drives a taxi for a living,,,,,,
tax,taxman,N,someone who collects taxes for the government,,,,,,
third_base,third_baseman,,(baseball) the person who plays third base,,,,,,
timber,timberman,,an owner or manager of a company that is engaged in lumbering,,,,,,
toll,tollman,N,someone employed to collect tolls,,,,,,
towns,townsman,N,a person from the same town as yourself,,,,,,
trades,tradesman,N,a merchant who owns or manages a shop,,,,,,
trainbands,trainbandsman,N,a member of a trainband,,,,,,
train,trainman,N,an employee of a railroad,,,,,,
traveling_sales,traveling_salesman,M,a salesman who travels to call on customers,,,,,,
travelling_sales,travelling_salesman,M,a salesman who travels to call on customers,,,,,,
trencher,trencherman,N,a person who is devoted to eating and drinking to excess,,,,,,
tribes,tribesman,N,someone who lives in a tribe,,,,,,
trigger,triggerman,N,a professional killer who uses a gun,,,,,,
turco,turcoman,N,a member of a Turkic people living in Turkmenistan and neighboring areas,,,,,,
turko,turkoman,N,a member of a Turkic people living in Turkmenistan and neighboring areas,,,,,,
tv_news,tv_newsman,N,someone who reports news stories via television,,,,,,
underclass,underclassman,N,an undergraduate who is not yet a senior,,,,,,
utility_,utility_man,N,a baseball player valued for the ability to play at several positions,,,,,,
vice_chair,vice_chairman,N,one ranking below or serving in the place of a chairman,,,,,,
vigilance_,vigilance_man,N,member of a vigilance committee,,,,,,
visiting_fire,visiting_fireman,N,an important or distinguished visitor,,,,,,
warehouse,warehouseman,N,a workman who manages or works in a warehouse,,,,,,
watch,watchman,N,a guard who keeps watch,,,,,,
water,waterman,N,someone who drives or rides in a boat,,,,,,
wealthy_,wealthy_man,M,a man who is wealthy,,,,wealthy_person,N,a person who possesses great material wealth
weather,weatherman,,predicts the weather,,,,,,
welsh,welshman,N,a native or resident of Wales,,,,,,
widow,widowman,M,a man whose wife is dead especially one who has not remarried,,,,,,
wild_,wild_man,N,a person who is not socialized,,,,,,
wing,wingman,N,the pilot who positions his aircraft outside and behind (on the wing of) the leader of a flying formation,,,,,,
wire,wireman,N,a worker who installs and repairs electric wiring,,,,,,
wise_,wise_man,N,a wise and trusted guide and advisor,,,,,,
wolf,wolfman,,a monster able to change appearance from human to wolf and back again,,,,,,
wood,woodman,N,someone who lives in the woods,,,,,,
woods,woodsman,N,someone who lives in the woods,,,,,,
working_,working_man,N,an employee who performs manual or industrial labor,,,,working_person,N,an employee who performs manual or industrial labor
working,workingman,N,an employee who performs manual or industrial labor,,,,,,
work,workman,N,an employee who performs manual or industrial labor,,,,,,
yard,yardman,N,worker in a railway yard,,,,,,
yeo,yeoman,N,officer in the (ceremonial) bodyguard of the British monarch,,,,,,
yes-,yes-man,N,a person of unquestioning obedience,,,,,,
