Lemma,Sense,SuperSense,POS_Tag,Definition,Examples,Label
brooke,brooke.n.01,noun.person,n,English lyric poet (1887-1915),[],N
brooks,brooks.n.01,noun.person,n,United States literary critic and historian (1886-1963),[],N
broth_of_a_boy,broth_of_a_boy.n.01,noun.person,n,an outstanding person; as if produced by boiling down a savory broth,[],N
broth_of_a_man,broth_of_a_boy.n.01,noun.person,n,an outstanding person; as if produced by boiling down a savory broth,[],N
brothel_keeper,madam.n.02,noun.person,n,a woman who runs a house of prostitution,[],F
brother,brother.n.01,noun.person,n,a male with the same parents as someone else,['my brother still lives with our parents'],M
brother,brother.n.02,noun.person,n,a male person who is a fellow member (of a fraternity or religion or other group),['none of his brothers would betray him'],M
brother,buddy.n.01,noun.person,n,a close friend who accompanies his buddies in their activities,[],N
brother,brother.n.04,noun.person,n,used as a term of address for those male persons engaged in the same movement,"['Greetings, comrade!']",M
brother,brother.n.05,noun.person,n,(Roman Catholic Church) a title given to a monk and used as form of address,['a Benedictine Brother'],N
brother-in-law,brother-in-law.n.01,noun.person,n,a brother by marriage,[],N
browne,browne.n.01,noun.person,n,English illustrator of several of Dickens' novels (1815-1882),[],N
browne,browne.n.02,noun.person,n,United States writer of humorous tales of an itinerant showman (1834-1867),[],N
brownie,brownie.n.01,noun.person,n,a junior Girl Scout,[],F
brownie,elf.n.01,noun.person,n,(folklore) fairies that are somewhat mischievous,[],N
browning,browning.n.01,noun.person,n,United States inventor of firearms (especially automatic pistols and repeating rifles and a machine gun called the Peacemaker) (1855-1926),[],N
browning,browning.n.02,noun.person,n,English poet and husband of Elizabeth Barrett Browning noted for his dramatic monologues (1812-1889),[],N
browning,browning.n.03,noun.person,n,English poet best remembered for love sonnets written to her husband Robert Browning (1806-1861),[],N
brownshirt,brownshirt.n.01,noun.person,n,a member of the Nazi SA which wore brown uniforms,[],N
browser,browser.n.01,noun.person,n,a viewer who looks around casually without seeking anything in particular,[],N
bruce,bruce.n.01,noun.person,n,Australian physician and bacteriologist who described the bacterium that causes undulant fever or brucellosis (1855-1931),[],N
bruce,bruce.n.02,noun.person,n,king of Scotland from 1306 to 1329; defeated the English army under Edward II at Bannockburn and gained recognition of Scottish independence (1274-1329),[],N
bruce_lee,lee.n.03,noun.person,n,United States actor who was an expert in kung fu and starred in martial arts films (1941-1973),[],N
bruch,bruch.n.01,noun.person,n,German composer (1838-1920),[],N
bruckner,bruckner.n.01,noun.person,n,Austrian organist and composer of romantic music (1824-1896),[],N
bruegel,brueghel.n.01,noun.person,n,Flemish painter of landscapes (1525-1569),[],N
brueghel,brueghel.n.01,noun.person,n,Flemish painter of landscapes (1525-1569),[],N
bruiser,bull.n.02,noun.person,n,a large and strong and heavyset man,"['he was a bull of a man', 'a thick-skinned bruiser ready to give as good as he got']",M
brule,brule.n.01,noun.person,n,a member of a group of Siouan people who constituted a division of the Teton Sioux,[],N
brummell,brummell.n.01,noun.person,n,English dandy who was a fashion leader during the Regency (1778-1840),[],N
brummie,brummie.n.01,noun.person,n,"a native or resident of Birmingham, England",[],N
brummy,brummie.n.01,noun.person,n,"a native or resident of Birmingham, England",[],N
brunelleschi,brunelleschi.n.01,noun.person,n,Florentine architect who was the first great architect of the Italian Renaissance (1377-1446),[],N
brunhild,brunhild.n.01,noun.person,n,a Valkyrie or a queen in the Nibelungenlied who loved the hero Siegfried; when he deceived her she had him killed and then committed suicide,[],N
brunnhilde,brunhild.n.01,noun.person,n,a Valkyrie or a queen in the Nibelungenlied who loved the hero Siegfried; when he deceived her she had him killed and then committed suicide,[],N
bruno,leo_ix.n.01,noun.person,n,German pope from 1049 to 1054 whose papacy was the beginning of papal reforms in the 11th century (1002-1054),[],N
bruno,bruno.n.02,noun.person,n,(Roman Catholic Church) a French cleric (born in Germany) who founded the Carthusian order in 1084 (1032-1101),[],N
bruno,bruno.n.03,noun.person,n,Italian philosopher who used Copernican principles to develop a pantheistic monistic philosophy; condemned for heresy by the Inquisition and burned at the stake (1548-1600),[],N
bruno_of_toul,leo_ix.n.01,noun.person,n,German pope from 1049 to 1054 whose papacy was the beginning of papal reforms in the 11th century (1002-1054),[],N
bruno_walter,walter.n.01,noun.person,n,German conductor (1876-1962),[],N
brutus,brutus.n.01,noun.person,n,statesman of ancient Rome who (with Cassius) led a conspiracy to assassinate Julius Caesar (85-42 BC),[],N
bryan,bryan.n.01,noun.person,n,United States lawyer and politician who advocated free silver and prosecuted John Scopes (1925) for teaching evolution in a Tennessee high school (1860-1925),[],N
bryan_donkin,donkin.n.01,noun.person,n,English engineer who developed a method of preserving food by sterilizing it with heat and sealing it inside a steel container--the first tin can (1768-1855),[],N
brynhild,brunhild.n.01,noun.person,n,a Valkyrie or a queen in the Nibelungenlied who loved the hero Siegfried; when he deceived her she had him killed and then committed suicide,[],N
buber,buber.n.01,noun.person,n,Israeli religious philosopher (born in Austria); as a Zionist he promoted understanding between Jews and Arabs; his writings affected Christian thinkers as well as Jews (1878-1965),[],N
buccaneer,pirate.n.02,noun.person,n,someone who robs at sea or plunders the land from the sea without having a commission from any sovereign nation,[],N
buchanan,buchanan.n.01,noun.person,n,15th President of the United States (1791-1868),[],N
buchner,buchner.n.01,noun.person,n,German organic chemist who studied alcoholic fermentation and discovered zymase (1860-1917),[],N
buck,buck.n.03,noun.person,n,United States author whose novels drew on her experiences as a missionary in China (1892-1973),[],N
buck_private,private.n.01,noun.person,n,an enlisted man of the lowest rank in the Army or Marines,['our prisoner was just a private and knew nothing of value'],M
buck_sergeant,buck_sergeant.n.01,noun.person,n,a sergeant of the lowest rank in the military,[],N
buckaroo,vaquero.n.01,noun.person,n,local names for a cowboy (`vaquero' is used especially in southwestern and central Texas and `buckaroo' is used especially in California),[],N
buckeroo,vaquero.n.01,noun.person,n,local names for a cowboy (`vaquero' is used especially in southwestern and central Texas and `buckaroo' is used especially in California),[],N
buckeye,ohioan.n.01,noun.person,n,a native or resident of Ohio,[],N
buckminster_fuller,fuller.n.02,noun.person,n,United States architect who invented the geodesic dome (1895-1983),[],N
buddha,buddha.n.01,noun.person,n,founder of Buddhism; worshipped as a god (c 563-483 BC),[],N
buddha,buddha.n.02,noun.person,n,one who has achieved a state of perfect enlightenment,[],N
buddy,buddy.n.01,noun.person,n,a close friend who accompanies his buddies in their activities,[],N
buddy_holly,holly.n.02,noun.person,n,United States rock star (1936-1959),[],N
budge,budge.n.01,noun.person,n,United States tennis player who in 1938 was the first to win the Australian and French and English and United States singles championship in the same year (1915-2000),[],N
buffalo_bill,cody.n.01,noun.person,n,United States showman famous for his Wild West Show (1846-1917),[],N
buffalo_bill_cody,cody.n.01,noun.person,n,United States showman famous for his Wild West Show (1846-1917),[],N
buffalo_indian,plains_indian.n.01,noun.person,n,a member of one of the tribes of American Indians who lived a nomadic life following the buffalo in the Great Plains of North America,[],N
buffoon,clown.n.01,noun.person,n,a rude or vulgar fool,[],N
buffoon,clown.n.02,noun.person,n,a person who amuses others by ridiculous behavior,[],N
bug-hunter,entomologist.n.01,noun.person,n,a zoologist who studies insects,[],N
bugaboo,bogeyman.n.01,noun.person,n,an imaginary monster used to frighten children,[],N
bugbear,bogeyman.n.01,noun.person,n,an imaginary monster used to frighten children,[],N
bugger,sodomite.n.01,noun.person,n,someone who engages in anal copulation (especially a male who engages in anal copulation with another male),[],M
bugler,bugler.n.01,noun.person,n,someone who plays a bugle,[],N
bugologist,entomologist.n.01,noun.person,n,a zoologist who studies insects,[],N
builder,builder.n.02,noun.person,n,a person who creates a business or who organizes and develops a country,['empire builder'],N
builder,builder.n.03,noun.person,n,someone who contracts for and supervises construction (as of a building),[],N
bukharin,bukharin.n.01,noun.person,n,Bolshevik leader in Russia who advocated gradual collectivism of the farms; was executed in a purge by Stalin (1888-1938),[],N
bull,bull.n.02,noun.person,n,a large and strong and heavyset man,"['he was a bull of a man', 'a thick-skinned bruiser ready to give as good as he got']",M
bull,bull.n.05,noun.person,n,uncomplimentary terms for a policeman,[],N
bull,bull.n.06,noun.person,n,an investor with an optimistic market outlook; an investor who expects prices to rise and so buys now for resale later,[],N
bull,taurus.n.02,noun.person,n,(astrology) a person who is born while the sun is in Taurus,[],N
bullfighter,bullfighter.n.01,noun.person,n,someone who fights bulls,[],N
bullfinch,bullfinch.n.01,noun.person,n,United States architect who designed the Capitol Building in Washington which served as a model for state capitols throughout the United States (1763-1844),[],N
bullyboy,bullyboy.n.01,noun.person,n,a swaggering tough; usually one acting as an agent of a political faction,[],N
bultmann,bultmann.n.01,noun.person,n,a Lutheran theologian in Germany (1884-1976),[],N
bulwer-lytton,lytton.n.01,noun.person,n,English writer of historical romances (1803-1873),[],N
bumbler,bungler.n.01,noun.person,n,someone who makes mistakes because of incompetence,[],N
bumpkin,yokel.n.01,noun.person,n,a person who is not very intelligent or interested in culture,[],N
bunche,bunche.n.01,noun.person,n,United States diplomat and United Nations official (1904-1971),[],N
bungler,bungler.n.01,noun.person,n,someone who makes mistakes because of incompetence,[],N
bunkmate,bunkmate.n.01,noun.person,n,someone who occupies the same sleeping quarters as yourself,[],N
bunny,bunny.n.01,noun.person,n,a young waitress in a nightclub whose costume includes the tail and ears of a rabbit,[],N
bunny_girl,bunny.n.01,noun.person,n,a young waitress in a nightclub whose costume includes the tail and ears of a rabbit,[],N
bunsen,bunsen.n.01,noun.person,n,German chemist who with Kirchhoff pioneered spectrum analysis but is remembered mainly for his invention of the Bunsen burner (1811-1899),[],N
bunter,bunter.n.01,noun.person,n,a batter who bunts,[],N
bunuel,bunuel.n.01,noun.person,n,Spanish film director (1900-1983),[],N
bunyan,bunyan.n.01,noun.person,n,"English preacher and author of an allegorical novel, Pilgrim's Progress (1628-1688)",[],N
bunyan,bunyan.n.02,noun.person,n,a legendary giant lumberjack of the north woods of the United States and Canada,"['Paul Bunyan had a blue ox named Babe', ""the lakes of Minnesota began when Paul Bunyan and Babe's footprints filled with water""]",N
burbage,burbage.n.01,noun.person,n,English actor who was the first to play the leading role in several of Shakespeare's tragedies (1567-1619),[],N
burbank,burbank.n.01,noun.person,n,United States horticulturist who developed many new varieties of fruits and vegetables and flowers (1849-1926),[],N
bureaucrat,bureaucrat.n.01,noun.person,n,an official of a bureaucracy,[],N
burger,burger.n.01,noun.person,n,United States jurist appointed chief justice of the United States Supreme Court by Richard Nixon (1907-1995),[],N
burgess,burgess.n.01,noun.person,n,English writer of satirical novels (1917-1993),[],N
burgess,burgess.n.02,noun.person,n,a citizen of an English borough,[],N
burgher,burgess.n.02,noun.person,n,a citizen of an English borough,[],N
burgher,bourgeois.n.02,noun.person,n,a member of the middle class,[],N
burglar,burglar.n.01,noun.person,n,a thief who enters a building with intent to steal,[],N
burgomaster,burgomaster.n.01,noun.person,n,a mayor of a municipality in Germany or Holland or Flanders or Austria,[],N
burgoyne,burgoyne.n.01,noun.person,n,British general in the American Revolution who captured Fort Ticonderoga but lost the battle of Saratoga in 1777 (1722-1792),[],N
burgrave,burgrave.n.01,noun.person,n,a nobleman ruling a German castle and surrounding grounds by hereditary right,[],N
burgrave,burgrave.n.02,noun.person,n,the military governor of a German town in the 12th and 13th centuries,[],N
burk,burk.n.01,noun.person,n,United States frontierswoman and legendary figure of the Wild West noted for her marksmanship (1852-1903),[],N
burke,burke.n.01,noun.person,n,British statesman famous for his oratory; pleaded the cause of the American colonists in British Parliament and defended the parliamentary system (1729-1797),[],N
burke,burk.n.01,noun.person,n,United States frontierswoman and legendary figure of the Wild West noted for her marksmanship (1852-1903),[],N
burnett,burnett.n.01,noun.person,n,United States writer (born in England) remembered for her novels for children (1849-1924),[],N
burnham,burnham.n.01,noun.person,n,United States architect who designed the first important skyscraper with a skeleton (1846-1912),[],N
burns,burns.n.01,noun.person,n,United States comedian and film actor (1896-1996),[],N
burns,burns.n.02,noun.person,n,celebrated Scottish poet (1759-1796),[],N
burnside,burnside.n.01,noun.person,n,United States general in the American Civil War who was defeated by Robert E. Lee at the Battle of Fredericksburg (1824-1881),[],N
burr,burr.n.03,noun.person,n,United States politician who served as vice president under Jefferson; he mortally wounded his political rival Alexander Hamilton in a duel and fled south (1756-1836),[],N
burrhus_frederic_skinner,skinner.n.03,noun.person,n,United States psychologist and a leading proponent of behaviorism (1904-1990),[],N
burrill_bernard_crohn,crohn.n.01,noun.person,n,United States physician who specialized in diseases of the intestines; he was the first to describe regional ileitis which is now known as Crohn's disease (1884-1983),[],N
burroughs,burroughs.n.01,noun.person,n,United States writer noted for his works portraying the life of drug addicts (1914-1997),[],N
burroughs,burroughs.n.02,noun.person,n,United States inventor who patented the first practical adding machine (1855-1898),[],N
burroughs,burroughs.n.03,noun.person,n,United States novelist and author of the Tarzan stories (1875-1950),[],N
bursar,bursar.n.01,noun.person,n,the treasurer at a college or university,[],N
burt,burt.n.01,noun.person,n,English psychologist whose studies of twins were later said to have used fabricated data (1883-1971),[],N
burton,burton.n.01,noun.person,n,English explorer who with John Speke was the first European to explore Lake Tanganyika (1821-1890),[],N
burton,burton.n.02,noun.person,n,Welsh film actor who often co-starred with Elizabeth Taylor (1925-1984),[],N
bus_driver,busman.n.01,noun.person,n,someone who drives a bus,[],N
busboy,busboy.n.01,noun.person,n,a restaurant attendant who sets tables and assists waiters and clears away dirty dishes,[],N
bush_leaguer,minor_leaguer.n.01,noun.person,n,a player on a minor-league baseball team,[],N
bushman,bushman.n.01,noun.person,n,a member of the race of nomadic hunters and gatherers who live in southern Africa,[],N
bushman,bushman.n.02,noun.person,n,a dweller in the Australian bush country,[],N
bushnell,bushnell.n.01,noun.person,n,American inventor who in 1775 designed a man-propelled submarine that was ineffectual but subsequently earned him recognition as a submarine pioneer (1742-1824),[],M
bushwhacker,hillbilly.n.01,noun.person,n,a disparaging term for an unsophisticated person,[],N
bushwhacker,bushwhacker.n.02,noun.person,n,a Confederate guerrilla during the American Civil War,[],N
business_agent,business_agent.n.01,noun.person,n,an agent who handles business affairs for another; especially one who deals with employers,[],N
business_editor,business_editor.n.01,noun.person,n,the newspaper editor responsible for business news,[],N
business_executive,corporate_executive.n.01,noun.person,n,an executive in a business corporation,[],N
business_leader,baron.n.03,noun.person,n,a very wealthy or powerful businessman,['an oil baron'],N
business_traveler,business_traveler.n.01,noun.person,n,a traveler whose expenses are paid by the business he works for,[],N
businessman,businessman.n.01,noun.person,n,a person engaged in commercial or industrial business (especially an owner or executive),[],N
businessmen,businessman.n.01,noun.person,n,a person engaged in commercial or industrial business (especially an owner or executive),[],N
businessperson,businessperson.n.01,noun.person,n,a capitalist who engages in industrial commercial enterprise,[],N
businesswoman,businesswoman.n.01,noun.person,n,a female businessperson,[],F
busker,busker.n.01,noun.person,n,"a person who entertains people for money in public places (as by singing or dancing), usually while asking for money",[],N
busman,busman.n.01,noun.person,n,someone who drives a bus,[],N
buster,fellow.n.06,noun.person,n,an informal form of address for a man,"['Say, fellow, what are you doing?', ""Hey buster, what's up?""]",M
buster,buster.n.02,noun.person,n,a robust child,[],N
buster,buster.n.03,noun.person,n,a person who breaks horses,[],N
buster,buster.n.04,noun.person,n,a person (or thing) that breaks up or overpowers something,"['dam buster', 'sanction buster', 'crime buster']",N
buster,baby_buster.n.01,noun.person,n,a person born in the generation following the baby boom when the birth rate fell dramatically,[],N
buster_keaton,keaton.n.01,noun.person,n,United States comedian and actor in silent films noted for his acrobatic skills and deadpan face (1895-1966),[],N
busy_bee,eager_beaver.n.01,noun.person,n,an alert and energetic person,[],N
busybody,busybody.n.01,noun.person,n,a person who meddles in the affairs of others,[],N
butcher,butcher.n.01,noun.person,n,a retailer of meat,[],N
butcher,butcher.n.02,noun.person,n,a brutal indiscriminate murderer,[],N
butcher,butcher.n.03,noun.person,n,a person who slaughters or dresses meat for market,[],N
butcher,bungler.n.01,noun.person,n,someone who makes mistakes because of incompetence,[],N
butcher_cumberland,cumberland.n.01,noun.person,n,English general; son of George II; fought unsuccessfully in the battle of Fontenoy (1721-1765),[],N
butler,butler.n.01,noun.person,n,a manservant (usually the head servant of a household) who has charge of wines and the table,[],N
butler,butler.n.02,noun.person,n,English novelist who described a fictitious land he called Erewhon (1835-1902),[],N
butler,butler.n.03,noun.person,n,English poet (1612-1680),[],N
butt,butt.n.03,noun.person,n,a victim of ridicule or pranks,[],N
butter,butter.n.02,noun.person,n,a fighter who strikes the opponent with his head,[],N
butterball,fatso.n.01,noun.person,n,a rotund individual,[],N
butterfield,butterfield.n.01,noun.person,n,English architect who designed many churches (1814-1900),[],N
butterfingers,butterfingers.n.01,noun.person,n,someone who drops things (especially one who cannot catch a ball),[],N
butterfly_collector,lepidopterist.n.01,noun.person,n,an entomologist who specializes in the collection and study of butterflies and moths,[],N
buttinsky,buttinsky.n.01,noun.person,n,a meddler who tends to butt in,[],N
buyer,buyer.n.01,noun.person,n,a person who buys,[],N
by-blow,bastard.n.02,noun.person,n,the illegitimate offspring of unmarried parents,[],N
byelorussian,byelorussian.n.01,noun.person,n,a native or inhabitant of Byelorussia,[],N
byrd,byrd.n.01,noun.person,n,English organist and composer of church music; master of 16th century polyphony; was granted a monopoly in music printing with Thomas Tallis (1543-1623),[],N
byrd,byrd.n.02,noun.person,n,explorer and United States naval officer; led expeditions to explore Antarctica (1888-1957),[],N
byron,byron.n.01,noun.person,n,English romantic poet notorious for his rebellious and unconventional lifestyle (1788-1824),[],N
bystander,bystander.n.01,noun.person,n,a nonparticipant spectator,[],N
c._d._gibson,gibson.n.01,noun.person,n,United States illustrator remembered for his creation of the `Gibson girl' (1867-1944),[],F
c._h._best,best.n.03,noun.person,n,Canadian physiologist (born in the United States) who assisted F. G. Banting in research leading to the discovery of insulin (1899-1978),[],N
c._k._ogden,ogden.n.01,noun.person,n,English psychologist who collaborated with I. A. Richards in designing Basic English (1889-1957),[],N
c._northcote_parkinson,parkinson.n.02,noun.person,n,British historian noted for ridicule of bureaucracies (1909-1993),[],N
c._p._snow,snow.n.03,noun.person,n,English writer of novels about moral dilemmas in academe (1905-1980),[],N
c._s._forester,forester.n.01,noun.person,n,English writer of adventure novels featuring Captain Horatio Hornblower (1899-1966),[],N
c._s._lewis,lewis.n.06,noun.person,n,English critic and novelist; author of theological works and of books for children (1898-1963),[],N
c._vann_woodward,woodward.n.01,noun.person,n,United States historian (1908-1999),[],N
c._w._post,post.n.07,noun.person,n,United States manufacturer of breakfast cereals and Postum (1854-1914),[],N
cabalist,cabalist.n.01,noun.person,n,a member of a cabal,[],N
cabalist,cabalist.n.02,noun.person,n,an expert who is highly skilled in obscure or difficult or esoteric matters,[],N
cabalist,cabalist.n.03,noun.person,n,a student of the Jewish Kabbalah,[],N
cabby,taxidriver.n.01,noun.person,n,someone who drives a taxi for a living,[],N
cabdriver,taxidriver.n.01,noun.person,n,someone who drives a taxi for a living,[],N
cabell,cabell.n.01,noun.person,n,United States writer of satirical novels (1879-1958),[],N
cabin_boy,cabin_boy.n.01,noun.person,n,a young man acting as a servant on a ship,[],M
cabinet_minister,cabinet_minister.n.01,noun.person,n,a person who is a member of the cabinet,[],N
cabinetmaker,cabinetmaker.n.01,noun.person,n,a woodworker who specializes in making furniture,[],N
cabman,taxidriver.n.01,noun.person,n,someone who drives a taxi for a living,[],N
cabot,cabot.n.01,noun.person,n,son of John Cabot who was born in Italy and who led an English expedition in search of the Northwest Passage and a Spanish expedition that explored the La Plata region of Brazil; in 1544 he published a map of the world (1476-1557),[],N
cabot,cabot.n.02,noun.person,n,Italian explorer who led the English expedition in 1497 that discovered the mainland of North America and explored the coast from Nova Scotia to Newfoundland (ca. 1450-1498),[],N
cacodaemon,cacodemon.n.01,noun.person,n,an evil spirit,[],N
cacodemon,cacodemon.n.01,noun.person,n,an evil spirit,[],N
cad,cad.n.01,noun.person,n,someone who is morally reprehensible,['you dirty dog'],N
caddie,caddie.n.01,noun.person,n,an attendant who carries the golf clubs for a player,[],N
caddo,caddo.n.01,noun.person,n,a group of Plains Indians formerly living in what is now North and South Dakota and Nebraska and Kansas and Arkansas and Louisiana and Oklahoma and Texas,[],N
cadet,cadet.n.01,noun.person,n,a military trainee (as at a military academy),[],N
cadger,moocher.n.01,noun.person,n,someone who mooches or cadges (tries to get something free),[],N
cadmus,cadmus.n.01,noun.person,n,(Greek mythology) the brother of Europa and traditional founder of Thebes in Boeotia,[],N
caesar,caesar.n.01,noun.person,n,conqueror of Gaul and master of Italy (100-44 BC),[],N
caesar,caesar.n.02,noun.person,n,United States comedian who pioneered comedy television shows (born 1922),[],N
caffein_addict,caffeine_addict.n.01,noun.person,n,someone addicted to caffeine,[],N
caffeine_addict,caffeine_addict.n.01,noun.person,n,someone addicted to caffeine,[],N
caffer,kaffir.n.02,noun.person,n,an offensive and insulting term for any Black African,[],N
caffre,kaffir.n.02,noun.person,n,an offensive and insulting term for any Black African,[],N
cage,cage.n.03,noun.person,n,United States composer of avant-garde music (1912-1992),[],N
cager,basketball_player.n.01,noun.person,n,an athlete who plays basketball,[],N
cagliostro,cagliostro.n.01,noun.person,n,Italian who was famous as a magician and alchemist (1743-1795),[],N
cagney,cagney.n.01,noun.person,n,United States film actor known for his portrayals of tough characters (1899-1986),[],N
cahita,cahita.n.01,noun.person,n,a member of the Taracahitian people of central Mexico,[],N
cain,cain.n.01,noun.person,n,(Old Testament) Cain and Abel were the first children of Adam and Eve born after the Fall of Man; Cain killed Abel out of jealousy and was exiled by God,[],M
cairene,cairene.n.01,noun.person,n,a native or inhabitant of Cairo,[],N
cajun,cajun.n.01,noun.person,n,a Louisianian descended from Acadian immigrants from Nova Scotia (`Cajun' comes from `Acadian'),[],N
cakchiquel,cakchiquel.n.01,noun.person,n,a member of the Mayan people living in south central Guatemala,[],N
calamity_jane,burk.n.01,noun.person,n,United States frontierswoman and legendary figure of the Wild West noted for her marksmanship (1852-1903),[],N
calapooya,kalapooia.n.01,noun.person,n,a member of the North American Indian people of Oregon,[],N
calapuya,kalapooia.n.01,noun.person,n,a member of the North American Indian people of Oregon,[],N
calculator,calculator.n.01,noun.person,n,an expert at calculation (or at operating calculating machines),[],N
calder,calder.n.01,noun.person,n,United States sculptor who first created mobiles and stabiles (1898-1976),[],N
calderon,calderon.n.01,noun.person,n,Spanish poet and dramatist considered one of the great Spanish writers (1600-1681),[],N
calderon_de_la_barca,calderon.n.01,noun.person,n,Spanish poet and dramatist considered one of the great Spanish writers (1600-1681),[],N
caldwell,caldwell.n.01,noun.person,n,United States author remembered for novels about poverty and degeneration (1903-1987),[],N
calif,caliph.n.01,noun.person,n,the civil and religious leader of a Muslim state considered to be a representative of Allah on earth,['many radical Muslims believe a Khalifah will unite all Islamic lands and people and subjugate the rest of the world'],N
caligula,caligula.n.01,noun.person,n,Roman Emperor who succeeded Tiberius and whose uncontrolled passions resulted in manifest insanity; noted for his cruelty and tyranny; was assassinated (12-41),[],N
caliph,caliph.n.01,noun.person,n,the civil and religious leader of a Muslim state considered to be a representative of Allah on earth,['many radical Muslims believe a Khalifah will unite all Islamic lands and people and subjugate the rest of the world'],N
calixtus_ii,calixtus_ii.n.01,noun.person,n,pope who in 1122 forced the Holy Roman Emperor Henry V to sign a concordat that recognized the right of the church to choose its own leadership (died in 1124),[],N
calixtus_iii,calixtus_iii.n.01,noun.person,n,Italian pope whose nepotism put the Borgia family in power in Italy (1378-1458),[],N
call_girl,call_girl.n.01,noun.person,n,a female prostitute who can be hired by telephone,[],F
callas,callas.n.01,noun.person,n,Greek coloratura soprano (born in the United States) known for her dramatic intensity in operatic roles (1923-1977),[],N
caller-out,caller.n.04,noun.person,n,a person who announces the changes of steps during a dance,['you need a fiddler and a caller for country dancing'],N
caller-up,caller.n.07,noun.person,n,the person initiating a telephone call,['there were so many callers that he finally disconnected the telephone'],N
calligrapher,calligrapher.n.01,noun.person,n,someone skilled in penmanship,[],N
calligraphist,calligrapher.n.01,noun.person,n,someone skilled in penmanship,[],N
calliope,calliope.n.01,noun.person,n,(Greek mythology) the Muse of epic poetry,[],N
calvert_vaux,vaux.n.01,noun.person,n,United States landscape architect (born in England) who designed Central Park (1824-1895),[],N
calvin,calvin.n.01,noun.person,n,United States chemist noted for discovering the series of chemical reactions in photosynthesis (1911-),[],N
calvin,calvin.n.02,noun.person,n,Swiss theologian (born in France) whose tenets (predestination and the irresistibility of grace and justification by faith) defined Presbyterianism (1509-1564),[],N
calvin_coolidge,coolidge.n.01,noun.person,n,elected vice president and succeeded as 30th President of the United States when Harding died in 1923 (1872-1933),[],N
calvin_klein,klein.n.03,noun.person,n,United States fashion designer noted for understated fashions (born in 1942),[],N
calvin_richard_klein,klein.n.03,noun.person,n,United States fashion designer noted for understated fashions (born in 1942),[],N
calvino,calvino.n.01,noun.person,n,Italian writer of novels and short stories (born in Cuba) (1923-1987),[],N
calypso,calypso.n.02,noun.person,n,(Greek mythology) the sea nymph who detained Odysseus for seven years,[],N
camera_operator,cameraman.n.01,noun.person,n,a photographer who operates a movie camera,[],N
cameraman,cameraman.n.01,noun.person,n,a photographer who operates a movie camera,[],N
camillo_golgi,golgi.n.01,noun.person,n,Italian histologist noted for work on the structure of the nervous system and for his discovery of Golgi bodies (1844-1926),[],N
camp_follower,camp_follower.n.01,noun.person,n,a prostitute who provides service to military personnel,[],N
camp_follower,camp_follower.n.02,noun.person,n,a follower who is not a member of an ingroup,[],N
campaigner,campaigner.n.01,noun.person,n,a politician who is running for public office,[],N
campbell,campbell.n.01,noun.person,n,United States mythologist (1904-1987),[],N
camper,camper.n.01,noun.person,n,someone living temporarily in a tent or lodge for recreation,[],N
campfire_girl,campfire_girl.n.01,noun.person,n,a girl who is a member of Campfire Girls; for girls age 7-18,[],F
campmate,campmate.n.01,noun.person,n,someone who lives in the same camp you do,[],N
camus,camus.n.01,noun.person,n,French writer who portrayed the human condition as isolated in an absurd world (1913-1960),[],N
canaanite,canaanite.n.01,noun.person,n,a member of an ancient Semitic people who occupied Canaan before it was conquered by the Israelites,[],N
canarese,kanarese.n.01,noun.person,n,a member of a Kannada-speaking group of people living chiefly in Kanara in southern India,[],N
canaries,fink.n.01,noun.person,n,someone acting as an informer or decoy for the police,[],N
canaries,canary.n.02,noun.person,n,a female singer,[],F
cancer,cancer.n.02,noun.person,n,(astrology) a person who is born while the sun is in Cancer,[],N
candidate,campaigner.n.01,noun.person,n,a politician who is running for public office,[],N
candidate,candidate.n.02,noun.person,n,someone who is considered for something (for an office or prize or honor etc.),[],N
candlemaker,candlemaker.n.01,noun.person,n,a person who makes or sells candles,[],N
candy_striper,candy_striper.n.01,noun.person,n,a volunteer worker in a hospital,[],N
candymaker,confectioner.n.01,noun.person,n,someone who makes candies and other sweets,[],N
canetti,canetti.n.01,noun.person,n,English writer born in Germany (1905-1994),[],N
cannibal,cannibal.n.01,noun.person,n,a person who eats human flesh,[],N
cannon_fodder,cannon_fodder.n.01,noun.person,n,soldiers who are regarded as expendable in the face of artillery fire,[],N
cannoneer,artilleryman.n.01,noun.person,n,a serviceman in the artillery,[],N
canoeist,canoeist.n.01,noun.person,n,someone paddling a canoe,[],N
canon,canon.n.02,noun.person,n,a priest who is a member of a cathedral chapter,[],N
cantabrigian,cantabrigian.n.01,noun.person,n,a resident of Cambridge,[],N
cantor,choirmaster.n.01,noun.person,n,the musical director of a choir,[],N
cantor,cantor.n.02,noun.person,n,the official of a synagogue who conducts the liturgical part of the service and sings or chants the prayers intended to be performed as solos,[],N
canuck,canuck.n.01,noun.person,n,informal term for Canadians in general and French Canadians in particular,[],N
canute,canute.n.01,noun.person,n,"king of Denmark and Norway who forced Edmund II to divide England with him; on the death of Edmund II, Canute became king of all England (994-1035)",[],N
canute_the_great,canute.n.01,noun.person,n,"king of Denmark and Norway who forced Edmund II to divide England with him; on the death of Edmund II, Canute became king of all England (994-1035)",[],N
canvasser,solicitor.n.01,noun.person,n,a petitioner who solicits contributions or trade or votes,[],N
canvasser,scrutineer.n.01,noun.person,n,someone who examines votes at an election,[],N
