root,m_lemma,m_gender,m_definition,f_lemma,f_gender,f_definition,n_lemma,n_gender,n_definition
george_east,young_man,PPN,United States inventor of a dry-plate process of developing photographic film and of flexible film (his firm introduced roll film) and of the box camera and of a process for color photography (1854-1932),george_eastwoman,,,george_eastman,PPN,United States inventor of a dry-plate process of developing photographic film and of flexible film (his firm introduced roll film) and of the box camera and of a process for color photography (1854-1932)
george_s._kauf,young_man,PPN,United States playwright who collaborated with many other writers including Moss Hart (1889-1961),george_s._kaufwoman,,,george_s._kaufman,PPN,United States playwright who collaborated with many other writers including Moss Hart (1889-1961)
george_simon_kauf,young_man,PPN,United States playwright who collaborated with many other writers including Moss Hart (1889-1961),george_simon_kaufwoman,,,george_simon_kaufman,PPN,United States playwright who collaborated with many other writers including Moss Hart (1889-1961)
gil,young_man,PPN,United States feminist (1860-1935),gilwoman,,,gilman,PPN,United States feminist (1860-1935)
gold,young_man,PPN,United States anarchist (born in Russia) who opposed conscription; was deported to the Soviet Union in 1919 (1869-1940),goldwoman,,,goldman,PPN,United States anarchist (born in Russia) who opposed conscription; was deported to the Soviet Union in 1919 (1869-1940)
good,young_man,PPN,United States clarinetist who in 1934 formed a big band (including black as well as white musicians) and introduced a kind of jazz known as swing (1909-1986),goodwoman,,,goodman,PPN,United States clarinetist who in 1934 formed a big band (including black as well as white musicians) and introduced a kind of jazz known as swing (1909-1986)
government_,young_man,N,a special law-enforcement agent of the Federal Bureau of Investigation,government_woman,,,government_man,N,a special law-enforcement agent of the Federal Bureau of Investigation
greg_nor,young_man,PPN,Australian golfer (born in 1955),greg_norwoman,,,greg_norman,PPN,Australian golfer (born in 1955)
gregory_john_nor,young_man,PPN,Australian golfer (born in 1955),gregory_john_norwoman,,,gregory_john_norman,PPN,Australian golfer (born in 1955)
grooms,young_man,M,a male attendant of the bridegroom at a wedding,groomswoman,,,groomsman,M,a male attendant of the bridegroom at a wedding
grounds,young_man,N,someone who maintains the grounds (of an estate or park or athletic field),groundswoman,,,groundsman,N,someone who maintains the grounds (of an estate or park or athletic field)
guards,young_man,N,a soldier who is a member of a unit called `the guard' or `guards',guardswoman,,,guardsman,N,a soldier who is a member of a unit called `the guard' or `guards'
gun,young_man,N,a professional killer who uses a gun,gunwoman,,,gunman,N,a professional killer who uses a gun
hachi,young_man,,a Shinto god of war,hachiwoman,,,hachiman,,a Shinto god of war
ha,young_man,PPN,(Old Testament) the minister of the Persian emperor who hated the Jews and was hanged for plotting to massacre them,hawoman,,,haman,PPN,(Old Testament) the minister of the Persian emperor who hated the Jews and was hanged for plotting to massacre them
handy,young_man,M,a man skilled in various odd jobs and other small tasks,handywoman,,,handyman,M,a man skilled in various odd jobs and other small tasks
hang,young_man,N,an executioner who hangs the condemned person,hangwoman,,,hangman,N,an executioner who hangs the condemned person
hanu,young_man,,"in Hinduism, the monkey god and helper of Rama; god of devotion and courage",hanuwoman,,,hanuman,,"in Hinduism, the monkey god and helper of Rama; god of devotion and courage"
hardware,young_man,N,someone who sells hardware,hardwarewoman,,,hardwareman,N,someone who sells hardware
harriet_tub,young_man,PPN,United States abolitionist born a slave on a plantation in Maryland and became a famous conductor on the Underground Railroad leading other slaves to freedom in the North (1820-1913),harriet_tubwoman,,,harriet_tubman,PPN,United States abolitionist born a slave on a plantation in Maryland and became a famous conductor on the Underground Railroad leading other slaves to freedom in the North (1820-1913)
harri,young_man,PPN,United States financier who negotiated a treaty with the Soviet Union banning tests of nuclear weapons (1891-1986),harriwoman,,,harriman,PPN,United States financier who negotiated a treaty with the Soviet Union banning tests of nuclear weapons (1891-1986)
harry_s_tru,young_man,PPN,elected vice president in Roosevelt's 4th term; became 33rd President of the United States on Roosevelt's death in 1945 and was elected President in 1948; authorized the use of atomic bombs against Japan (1884-1972),harry_s_truwoman,,,harry_s_truman,PPN,elected vice president in Roosevelt's 4th term; became 33rd President of the United States on Roosevelt's death in 1945 and was elected President in 1948; authorized the use of atomic bombs against Japan (1884-1972)
harry_tru,young_man,PPN,elected vice president in Roosevelt's 4th term; became 33rd President of the United States on Roosevelt's death in 1945 and was elected President in 1948; authorized the use of atomic bombs against Japan (1884-1972),harry_truwoman,,,harry_truman,PPN,elected vice president in Roosevelt's 4th term; became 33rd President of the United States on Roosevelt's death in 1945 and was elected President in 1948; authorized the use of atomic bombs against Japan (1884-1972)
hatchet_,young_man,N,a professional killer,hatchet_woman,,,hatchet_man,N,a professional killer
he-,young_man,M,a man who is virile and sexually active,he-woman,,,he-man,M,a man who is virile and sexually active
head_lines,young_man,N,a football official in charge of recording yardage gained or lost,head_lineswoman,,,head_linesman,N,a football official in charge of recording yardage gained or lost
head,young_man,N,an executioner who beheads the condemned person,headwoman,,,headman,N,an executioner who beheads the condemned person
heads,young_man,N,an executioner who beheads the condemned person,headswoman,,,headsman,N,an executioner who beheads the condemned person
heidelberg_,young_man,N,a type of primitive man who lived in Europe,heidelberg_woman,,,heidelberg_man,N,a type of primitive man who lived in Europe
hell,young_man,PPN,United States playwright; her plays were often indictments of injustice (1905-1984),hellwoman,,,hellman,PPN,United States playwright; her plays were often indictments of injustice (1905-1984)
helms,young_man,N,the person who steers a ship,helmswoman,,,helmsman,N,the person who steers a ship
hench,young_man,N,someone who assists in a plot,henchwoman,,,henchman,N,someone who assists in a plot
herds,young_man,N,someone who drives a herd,herdswoman,,,herdsman,N,someone who drives a herd
her,young_man,PPN,United States jazz musician and bandleader (1913-1987),herwoman,,,herman,PPN,United States jazz musician and bandleader (1913-1987)
highway,young_man,M,a holdup man who stops a vehicle and steals from it,highwaywoman,,,highwayman,M,a holdup man who stops a vehicle and steals from it
hired_,young_man,N,a hired laborer on a farm or ranch,hired_woman,,,hired_man,N,a hired laborer on a farm or ranch
hit_,young_man,N,a professional killer who uses a gun,hit_woman,,,hit_man,N,a professional killer who uses a gun
hit,young_man,N,a professional killer who uses a gun,hitwoman,,,hitman,N,a professional killer who uses a gun
hod,young_man,N,a laborer who carries supplies to masons or bricklayers,hodwoman,,,hodman,N,a laborer who carries supplies to masons or bricklayers
hoff,young_man,PPN,United States sculptor (1887-1966),hoffwoman,,,hoffman,PPN,United States sculptor (1887-1966)
holdup_,young_man,N,an armed thief,holdup_woman,,,holdup_man,N,an armed thief
holy_,young_man,N,person of exceptional holiness,holy_woman,,,holy_man,N,person of exceptional holiness
hotel,young_man,N,an owner or manager of hotels,hotelwoman,,,hotelman,N,an owner or manager of hotels
house,young_man,,an advanced student or graduate in medicine gaining supervised practical experience (`houseman' is a British term),housewoman,,,houseman,,an advanced student or graduate in medicine gaining supervised practical experience (`houseman' is a British term)
hous,young_man,PPN,English poet (1859-1936),houswoman,,,housman,PPN,English poet (1859-1936)
hunts,young_man,N,someone who hunts game,huntswoman,,,huntsman,N,someone who hunts game
husband,young_man,N,a person who operates a farm,husbandwoman,,,husbandman,N,a person who operates a farm
ice,young_man,N,someone who cuts and delivers ice,icewoman,,,iceman,N,someone who cuts and delivers ice
infantry,young_man,,fights on foot with small arms,infantrywoman,,,infantryman,,fights on foot with small arms
inger,young_man,N,a member of western Finnish people formerly living in the Baltic province where Saint Petersburg was built,ingerwoman,,,ingerman,N,a member of western Finnish people formerly living in the Baltic province where Saint Petersburg was built
ingmar_berg,young_man,PPN,Swedish film director who used heavy symbolism and explored the psychology of the characters (born 1918),ingmar_bergwoman,,,ingmar_bergman,PPN,Swedish film director who used heavy symbolism and explored the psychology of the characters (born 1918)
ingrid_berg,young_man,PPN,Swedish film actress (1915-1982),ingrid_bergwoman,,,ingrid_bergman,PPN,Swedish film actress (1915-1982)
iron_,young_man,M,a strong man of exceptional physical endurance,iron_woman,,,iron_man,M,a strong man of exceptional physical endurance
iron,young_man,M,a strong man of exceptional physical endurance,ironwoman,,,ironman,M,a strong man of exceptional physical endurance
jazz,young_man,N,a musician who plays or composes jazz music,jazzwoman,,,jazzman,N,a musician who plays or composes jazz music
jessye_nor,young_man,PPN,United States operatic soprano (born in 1945),jessye_norwoman,,,jessye_norman,PPN,United States operatic soprano (born in 1945)
john_chap,young_man,PPN,United States pioneer who planted apple trees as he traveled (1774-1845),john_chapwoman,,,john_chapman,PPN,United States pioneer who planted apple trees as he traveled (1774-1845)
john_henry_new,young_man,PPN,English prelate and theologian who (with John Keble and Edward Pusey) founded the Oxford movement; Newman later turned to Roman Catholicism and became a cardinal (1801-1890),john_henry_newwoman,,,john_henry_newman,PPN,English prelate and theologian who (with John Keble and Edward Pusey) founded the Oxford movement; Newman later turned to Roman Catholicism and became a cardinal (1801-1890)
journey,young_man,N,a skilled worker who practices some trade or handicraft,journeywoman,,,journeyman,N,a skilled worker who practices some trade or handicraft
julius_ull,young_man,PPN,United States film actor noted for his swashbuckling roles (1883-1939),julius_ullwoman,,,julius_ullman,PPN,United States film actor noted for his swashbuckling roles (1883-1939)
kauf,young_man,PPN,United States playwright who collaborated with many other writers including Moss Hart (1889-1961),kaufwoman,,,kaufman,PPN,United States playwright who collaborated with many other writers including Moss Hart (1889-1961)
klans,young_man,N,a member of the Ku Klux Klan,klanswoman,,,klansman,N,a member of the Ku Klux Klan
ladies'_,young_man,M,a man who takes advantage of women,ladies'_woman,,,ladies'_man,M,a man who takes advantage of women
land,young_man,N,a person who lives and works on land,landwoman,,,landman,N,a person who lives and works on land
lands,young_man,N,a person who lives and works on land,landswoman,,,landsman,N,a person who lives and works on land
law,young_man,N,an officer of the law,lawwoman,,,lawman,N,an officer of the law
lay,young_man,N,someone who is not a clergyman or a professional person,laywoman,,,layman,N,someone who is not a clergyman or a professional person
leading_,young_man,N,actor who plays the leading male role,leading_woman,,,leading_man,N,actor who plays the leading male role
ledge,young_man,N,a quarry worker who splits off blocks of stone,ledgewoman,,,ledgeman,N,a quarry worker who splits off blocks of stone
lens,young_man,N,someone who takes photographs professionally,lenswoman,,,lensman,N,someone who takes photographs professionally
letter,young_man,N,an athlete who has earned a letter in a school sport,letterwoman,,,letterman,N,an athlete who has earned a letter in a school sport
liege,young_man,N,a person holding a fief; a person who owes allegiance and service to a feudal lord,liegewoman,,,liegeman,N,a person holding a fief; a person who owes allegiance and service to a feudal lord
lift,young_man,M,a man employed to operate an elevator,liftwoman,,,liftman,M,a man employed to operate an elevator
lighter,young_man,N,someone who operates a barge,lighterwoman,,,lighterman,N,someone who operates a barge
lillian_hell,young_man,PPN,United States playwright; her plays were often indictments of injustice (1905-1984),lillian_hellwoman,,,lillian_hellman,PPN,United States playwright; her plays were often indictments of injustice (1905-1984)
line,young_man,N,one of the players on the line of scrimmage,linewoman,,,lineman,N,one of the players on the line of scrimmage
lines,young_man,N,"official (in tennis, soccer, football, etc.) who assists the referee in some way (especially by watching for out of bounds or offside)",lineswoman,,,linesman,N,"official (in tennis, soccer, football, etc.) who assists the referee in some way (especially by watching for out of bounds or offside)"
link,young_man,,(formerly) an attendant hired to carry a torch for pedestrians in dark streets,linkwoman,,,linkman,,(formerly) an attendant hired to carry a torch for pedestrians in dark streets
links,young_man,N,someone who plays the game of golf,linkswoman,,,linksman,N,someone who plays the game of golf
livery,young_man,N,a worker in a livery stable,liverywoman,,,liveryman,N,a worker in a livery stable
lobster,young_man,N,a person whose occupation is catching lobsters,lobsterwoman,,,lobsterman,N,a person whose occupation is catching lobsters
lock,young_man,N,a worker in charge of a lock (on a canal),lockwoman,,,lockman,N,a worker in charge of a lock (on a canal)
longbow,young_man,N,a medieval English archer who used a longbow,longbowwoman,,,longbowman,N,a medieval English archer who used a longbow
longshore,young_man,N,a laborer who loads and unloads vessels in a port,longshorewoman,,,longshoreman,N,a laborer who loads and unloads vessels in a port
lookout_,young_man,N,a person employed to keep watch for some anticipated event,lookout_woman,,,lookout_man,N,a person employed to keep watch for some anticipated event
louis_the_ger,young_man,PPN,king of France and Germany (846-879),louis_the_gerwoman,,,louis_the_german,PPN,king of France and Germany (846-879)
lowerclass,young_man,N,an undergraduate who is not yet a senior,lowerclasswoman,,,lowerclassman,N,an undergraduate who is not yet a senior
lumber,young_man,N,a person who fells trees,lumberwoman,,,lumberman,N,a person who fells trees
macho-,young_man,M,a man who is virile and sexually active,macho-woman,,,macho-man,M,a man who is virile and sexually active
mail,young_man,M,a man who delivers the mail,mailwoman,,,mailman,M,a man who delivers the mail
maintenance_,young_man,N,a skilled worker whose job is to repair things,maintenance_woman,,,maintenance_man,N,a skilled worker whose job is to repair things
malt,young_man,N,a maker of malt,maltwoman,,,maltman,N,a maker of malt
malvina_hoff,young_man,PPN,United States sculptor (1887-1966),malvina_hoffwoman,,,malvina_hoffman,PPN,United States sculptor (1887-1966)
marcus_whit,young_man,PPN,United States frontier missionary who established a post in Oregon where Christianity and schooling and medicine were available to Native Americans (1802-1847),marcus_whitwoman,,,marcus_whitman,PPN,United States frontier missionary who established a post in Oregon where Christianity and schooling and medicine were available to Native Americans (1802-1847)
marks,young_man,N,someone skilled in shooting,markswoman,,,marksman,N,someone skilled in shooting
mat,young_man,N,combatant who tries to throw opponent to the ground,matwoman,,,matman,N,combatant who tries to throw opponent to the ground
meat,young_man,N,a retailer of meat,meatwoman,,,meatman,N,a retailer of meat
medical_,young_man,N,someone who practices medicine,medical_woman,,,medical_man,N,someone who practices medicine
medicine_,young_man,,a Native American shaman,medicine_woman,,,medicine_man,,a Native American shaman
medieval_school,young_man,N,a scholar in one of the universities of the Middle Ages; versed in scholasticism,medieval_schoolwoman,,,medieval_schoolman,N,a scholar in one of the universities of the Middle Ages; versed in scholasticism
mer,young_man,PPN,United States singer who appeared in several musical comedies (1909-1984),merwoman,,,merman,PPN,United States singer who appeared in several musical comedies (1909-1984)
middle-aged_,young_man,M,a man who is roughly between 45 and 65 years old,middle-aged_woman,,,middle-aged_man,M,a man who is roughly between 45 and 65 years old
middle,young_man,N,someone who buys large quantities of goods and resells to merchants rather than to the ultimate customers,middlewoman,,,middleman,N,someone who buys large quantities of goods and resells to merchants rather than to the ultimate customers
midship,young_man,,a temporary rank held by young naval officers in training,midshipwoman,,,midshipman,,a temporary rank held by young naval officers in training
military_,young_man,N,someone who serves in the armed forces; a member of a military force,military_woman,,,military_man,N,someone who serves in the armed forces; a member of a military force
military_police,young_man,N,a member of the military police who polices soldiers and guards prisoners,military_policewoman,,,military_policeman,N,a member of the military police who polices soldiers and guards prisoners
militia,young_man,N,a member of the militia; serves only during emergencies,militiawoman,,,militiaman,N,a member of the militia; serves only during emergencies
milk,young_man,N,someone who delivers milk,milkwoman,,,milkman,N,someone who delivers milk
milton_fried,young_man,PPN,United States economist noted as a proponent of monetarism and for his opposition to government intervention in the economy (born in 1912),milton_friedwoman,,,milton_friedman,PPN,United States economist noted as a proponent of monetarism and for his opposition to government intervention in the economy (born in 1912)
minute,young_man,N,an American militiaman prior to and during the American Revolution,minutewoman,,,minuteman,N,an American militiaman prior to and during the American Revolution
miracle_,young_man,N,a person who claims or is alleged to perform miracles,miracle_woman,,,miracle_man,N,a person who claims or is alleged to perform miracles
money,young_man,N,a person skilled in large scale financial transactions,moneywoman,,,moneyman,N,a person skilled in large scale financial transactions
motorcycle_police,young_man,N,a policeman who rides a motorcycle (and who checks the speeds of motorists),motorcycle_policewoman,,,motorcycle_policeman,N,a policeman who rides a motorcycle (and who checks the speeds of motorists)
motor,young_man,N,the operator of streetcar,motorwoman,,,motorman,N,the operator of streetcar
mountain_,young_man,M,a man who lives on the frontier,mountain_woman,,,mountain_man,M,a man who lives on the frontier
muffin_,young_man,N,formerly an itinerant peddler of muffins,muffin_woman,,,muffin_man,N,formerly an itinerant peddler of muffins
muscle,young_man,M,a bully employed as a thug or bodyguard,musclewoman,,,muscleman,M,a bully employed as a thug or bodyguard
navy_,young_man,N,a serviceman in the navy,navy_woman,,,navy_man,N,a serviceman in the navy
new,young_man,PPN,United States film actor (born in 1925),newwoman,,,newman,PPN,United States film actor (born in 1925)
night_watch,young_man,N,a watchman who works during the night,night_watchwoman,,,night_watchman,N,a watchman who works during the night
norse,young_man,N,a native or inhabitant of Norway,norsewoman,,,norseman,N,a native or inhabitant of Norway
north,young_man,N,an inhabitant of Scandinavia,northwoman,,,northman,N,an inhabitant of Scandinavia
nursery,young_man,N,someone who takes care of a garden,nurserywoman,,,nurseryman,N,someone who takes care of a garden
odd-job_,young_man,M,a man skilled in various odd jobs and other small tasks,odd-job_woman,,,odd-job_man,M,a man skilled in various odd jobs and other small tasks
oil,young_man,N,a person who owns or operates oil wells,oilwoman,,,oilman,N,a person who owns or operates oil wells
oklaho,young_man,N,a native or resident of Oklahoma,oklahowoman,,,oklahoman,N,a native or resident of Oklahoma
ombuds,young_man,N,a government appointee who investigates complaints by private persons against the government,ombudswoman,,,ombudsman,N,a government appointee who investigates complaints by private persons against the government
orange,young_man,PPN,a member of a society founded in Ireland in 1795 to uphold Protestantism and the British sovereign,orangewoman,,,orangeman,PPN,a member of a society founded in Ireland in 1795 to uphold Protestantism and the British sovereign
organization_,young_man,N,an employee who sacrifices his own individuality for the good of an organization,organization_woman,,,organization_man,N,an employee who sacrifices his own individuality for the good of an organization
outdoor_,young_man,N,someone who enjoys outdoor activities,outdoor_woman,,,outdoor_man,N,someone who enjoys outdoor activities
pack,young_man,N,someone who travels about selling his wares (as on the streets or at carnivals),packwoman,,,packman,N,someone who travels about selling his wares (as on the streets or at carnivals)
pantry,young_man,M,a manservant (usually the head servant of a household) who has charge of wines and the table,pantrywoman,,,pantryman,M,a manservant (usually the head servant of a household) who has charge of wines and the table
party_,young_man,N,a member of a political party who follows strictly the party line,party_woman,,,party_man,N,a member of a political party who follows strictly the party line
patrol,young_man,N,a policeman who patrols a given region,patrolwoman,,,patrolman,N,a policeman who patrols a given region
paul_leonard_new,young_man,PPN,United States film actor (born in 1925),paul_leonard_newwoman,,,paul_leonard_newman,PPN,United States film actor (born in 1925)
paul_new,young_man,PPN,United States film actor (born in 1925),paul_newwoman,,,paul_newman,PPN,United States film actor (born in 1925)
pen,young_man,,informal terms for journalists,penwoman,,,penman,,informal terms for journalists
pieter_zee,young_man,PPN,Dutch physicist honored for his research on the influence of magnetism on radiation which showed that light is radiated by the motion of charged particles in an atom (1865-1943),pieter_zeewoman,,,pieter_zeeman,PPN,Dutch physicist honored for his research on the influence of magnetism on radiation which showed that light is radiated by the motion of charged particles in an atom (1865-1943)
pig,young_man,N,a herder or swine,pigwoman,,,pigman,N,a herder or swine
piltdown_,young_man,,a supposedly primitive man later proven to be a hoax,piltdown_woman,,,piltdown_man,,a supposedly primitive man later proven to be a hoax
pinchas_zuker,young_man,PPN,Israeli violinist (born in 1948),pinchas_zukerwoman,,,pinchas_zukerman,PPN,Israeli violinist (born in 1948)
pitch,young_man,M,an aggressive salesman who uses a fast line of talk to sell something,pitchwoman,,,pitchman,M,an aggressive salesman who uses a fast line of talk to sell something
pit,young_man,PPN,English educator who invented a system of phonetic shorthand (1813-1897),pitwoman,,,pitman,PPN,English educator who invented a system of phonetic shorthand (1813-1897)
pivot_,young_man,N,the person in a rank around whom the others wheel and maneuver,pivot_woman,,,pivot_man,N,the person in a rank around whom the others wheel and maneuver
place,young_man,,a disparaging term for an appointee,placewoman,,,placeman,,a disparaging term for an appointee
plainclothes,young_man,N,a detective who wears civilian clothes on duty,plainclotheswoman,,,plainclothesman,N,a detective who wears civilian clothes on duty
plains,young_man,N,an inhabitant of a plains region (especially the Great Plains of North America),plainswoman,,,plainsman,N,an inhabitant of a plains region (especially the Great Plains of North America)
plants,young_man,N,an expert in the science of cultivating plants (fruit or flowers or vegetables or ornamental plants),plantswoman,,,plantsman,N,an expert in the science of cultivating plants (fruit or flowers or vegetables or ornamental plants)
plough,young_man,M,a man who plows,ploughwoman,,,ploughman,M,a man who plows
plow,young_man,M,a man who plows,plowwoman,,,plowman,M,a man who plows
points,young_man,N,a policeman stationed at an intersection to direct traffic,pointswoman,,,pointsman,N,a policeman stationed at an intersection to direct traffic
posse,young_man,M,an able-bodied man serving as a member of a posse,possewoman,,,posseman,M,an able-bodied man serving as a member of a posse
post,young_man,M,a man who delivers the mail,postwoman,,,postman,M,a man who delivers the mail
pot,young_man,N,a worker in an inn or public house who serves customers and does various chores,potwoman,,,potman,N,a worker in an inn or public house who serves customers and does various chores
poultry,young_man,N,a dealer in poultry and poultry products,poultrywoman,,,poultryman,N,a dealer in poultry and poultry products
pr_,young_man,N,someone employed to arrange publicity (for a firm or a public figure),pr_woman,,,pr_man,N,someone employed to arrange publicity (for a firm or a public figure)
preacher_,young_man,N,someone whose occupation is preaching the gospel,preacher_woman,,,preacher_man,N,someone whose occupation is preaching the gospel
president_tru,young_man,PPN,elected vice president in Roosevelt's 4th term; became 33rd President of the United States on Roosevelt's death in 1945 and was elected President in 1948; authorized the use of atomic bombs against Japan (1884-1972),president_truwoman,,,president_truman,PPN,elected vice president in Roosevelt's 4th term; became 33rd President of the United States on Roosevelt's death in 1945 and was elected President in 1948; authorized the use of atomic bombs against Japan (1884-1972)
press,young_man,,someone whose occupation is printing,presswoman,,,pressman,,someone whose occupation is printing
privateers,young_man,N,an officer or crew member of a privateer,privateerswoman,,,privateersman,N,an officer or crew member of a privateer
property_,young_man,N,member of the stage crew in charge of properties,property_woman,,,property_man,N,member of the stage crew in charge of properties
prop,young_man,N,member of the stage crew in charge of properties,propwoman,,,propman,N,member of the stage crew in charge of properties
public_relations_,young_man,N,someone employed to arrange publicity (for a firm or a public figure),public_relations_woman,,,public_relations_man,N,someone employed to arrange publicity (for a firm or a public figure)
publicity_,young_man,N,someone employed to arrange publicity (for a firm or a public figure),publicity_woman,,,publicity_man,N,someone employed to arrange publicity (for a firm or a public figure)
quarry,young_man,M,a man who works in a quarry,quarrywoman,,,quarryman,M,a man who works in a quarry
raft,young_man,N,someone who travels by raft,raftwoman,,,raftman,N,someone who travels by raft
rafts,young_man,N,someone who travels by raft,raftswoman,,,raftsman,N,someone who travels by raft
railroad_,young_man,N,an employee of a railroad,railroad_woman,,,railroad_man,N,an employee of a railroad
railway_,young_man,N,an employee of a railroad,railway_woman,,,railway_man,N,an employee of a railroad
railway,young_man,N,an employee of a railroad,railwaywoman,,,railwayman,N,an employee of a railroad
ram,young_man,,god of storms and wind; corresponds to Babylonian Adad,ramwoman,,,ramman,,god of storms and wind; corresponds to Babylonian Adad
red_,young_man,,(slang) offensive term for Native Americans,red_woman,,,red_man,,(slang) offensive term for Native Americans
remittance_,young_man,N,an exile living on money sent from home,remittance_woman,,,remittance_man,N,an exile living on money sent from home
renaissance_,young_man,N,a modern scholar who is in a position to acquire more than superficial knowledge about many different interests,renaissance_woman,,,renaissance_man,N,a modern scholar who is in a position to acquire more than superficial knowledge about many different interests
repair,young_man,N,a skilled worker whose job is to repair things,repairwoman,,,repairman,N,a skilled worker whose job is to repair things
rewrite_,young_man,N,someone who puts text into appropriate form for publication,rewrite_woman,,,rewrite_man,N,someone who puts text into appropriate form for publication
rhodesian_,young_man,,a primitive hominid resembling Neanderthal man but living in Africa,rhodesian_woman,,,rhodesian_man,,a primitive hominid resembling Neanderthal man but living in Africa
rich_,young_man,M,a man who is wealthy,rich_woman,,,rich_man,M,a man who is wealthy
richard_feyn,young_man,PPN,United States physicist who contributed to the theory of the interaction of photons and electrons (1918-1988),richard_feynwoman,,,richard_feynman,PPN,United States physicist who contributed to the theory of the interaction of photons and electrons (1918-1988)
richard_phillips_feyn,young_man,PPN,United States physicist who contributed to the theory of the interaction of photons and electrons (1918-1988),richard_phillips_feynwoman,,,richard_phillips_feynman,PPN,United States physicist who contributed to the theory of the interaction of photons and electrons (1918-1988)
ries,young_man,PPN,United States sociologist (1909-2002),rieswoman,,,riesman,PPN,United States sociologist (1909-2002)
rifle,young_man,N,someone skilled in the use of a rifle,riflewoman,,,rifleman,N,someone skilled in the use of a rifle
right-hand_,young_man,N,the most helpful assistant,right-hand_woman,,,right-hand_man,N,the most helpful assistant
road,young_man,M,a salesman who travels to call on customers,roadwoman,,,roadman,M,a salesman who travels to call on customers
roger_sher,young_man,PPN,American Revolutionary leader and signer of the Declaration of Independence and the Articles of Confederation and the United States Constitution (1721-1793),roger_sherwoman,,,roger_sherman,PPN,American Revolutionary leader and signer of the Declaration of Independence and the Articles of Confederation and the United States Constitution (1721-1793)
rounds,young_man,N,a workman employed to make rounds (to deliver goods or make inspections or so on),roundswoman,,,roundsman,N,a workman employed to make rounds (to deliver goods or make inspections or so on)
sand,young_man,,an elf in fairy stories who sprinkles sand in children's eyes to make them sleepy,sandwoman,,,sandman,,an elf in fairy stories who sprinkles sand in children's eyes to make them sleepy
sandwich,young_man,N,a person with advertising boards hanging from the shoulders,sandwichwoman,,,sandwichman,N,a person with advertising boards hanging from the shoulders
school,young_man,N,a scholar in one of the universities of the Middle Ages; versed in scholasticism,schoolwoman,,,schoolman,N,a scholar in one of the universities of the Middle Ages; versed in scholasticism
sea,young_man,M,a man who serves as a sailor,seawoman,,,seaman,M,a man who serves as a sailor
second_base,young_man,,(baseball) the person who plays second base,second_basewoman,,,second_baseman,,(baseball) the person who plays second base
section_,young_man,N,someone who teaches a section of a large college course,section_woman,,,section_man,N,someone who teaches a section of a large college course
seed,young_man,N,a dealer in seeds,seedwoman,,,seedman,N,a dealer in seeds
seeds,young_man,N,a dealer in seeds,seedswoman,,,seedsman,N,a dealer in seeds
service_,young_man,N,a skilled worker whose job is to repair things,service_woman,,,service_man,N,a skilled worker whose job is to repair things
service,young_man,N,someone who serves in the armed forces; a member of a military force,servicewoman,,,serviceman,N,someone who serves in the armed forces; a member of a military force
sha,young_man,,in societies practicing shamanism: one acting as a medium between the visible and spirit worlds; practices sorcery for healing or divination,shawoman,,,shaman,,in societies practicing shamanism: one acting as a medium between the visible and spirit worlds; practices sorcery for healing or divination
sheep,young_man,M,a man who raises (or tends) sheep,sheepwoman,,,sheepman,M,a man who raises (or tends) sheep
sher,young_man,PPN,United States general who was commander of all Union troops in the West; he captured Atlanta and led a destructive march to the sea that cut the Confederacy in two (1820-1891),sherwoman,,,sherman,PPN,United States general who was commander of all Union troops in the West; he captured Atlanta and led a destructive march to the sea that cut the Confederacy in two (1820-1891)
show,young_man,N,a person skilled at making effective presentations,showwoman,,,showman,N,a person skilled at making effective presentations
sides,young_man,,(Church of England) an assistant to the churchwarden; collects offerings of money in the church,sideswoman,,,sidesman,,(Church of England) an assistant to the churchwarden; collects offerings of money in the church
signal,young_man,N,a railroad employee in charge of signals and point in a railroad yard,signalwoman,,,signalman,N,a railroad employee in charge of signals and point in a railroad yard
sir_isaac_pit,young_man,PPN,English educator who invented a system of phonetic shorthand (1813-1897),sir_isaac_pitwoman,,,sir_isaac_pitman,PPN,English educator who invented a system of phonetic shorthand (1813-1897)
skilled_work,young_man,N,a worker who has acquired special skills,skilled_workwoman,,,skilled_workman,N,a worker who has acquired special skills
small_business,young_man,PPN,a businessman who runs a business employing less than 100 people,small_businesswoman,,,small_businessman,PPN,a businessman who runs a business employing less than 100 people
sound,young_man,N,a technician in charge of amplifying sound or producing sound effects (as for a TV or radio broadcast),soundwoman,,,soundman,N,a technician in charge of amplifying sound or producing sound effects (as for a TV or radio broadcast)
space,young_man,N,a person trained to travel in a spacecraft,spacewoman,,,spaceman,N,a person trained to travel in a spacecraft
sporting_,young_man,N,someone who leads a merry existence; especially a gambler on the outcome of sporting events,sporting_woman,,,sporting_man,N,someone who leads a merry existence; especially a gambler on the outcome of sporting events
squaw_,young_man,M,a white man married to a North American Indian woman,squaw_woman,,,squaw_man,M,a white man married to a North American Indian woman
stable,young_man,N,someone employed in a stable to take care of the horses,stablewoman,,,stableman,N,someone employed in a stable to take care of the horses
stan_the_,young_man,PPN,United States baseball player (born in 1920),stan_the_woman,,,stan_the_man,PPN,United States baseball player (born in 1920)
steel,young_man,N,a worker engaged in making steel,steelwoman,,,steelman,N,a worker engaged in making steel
steers,young_man,N,the person who steers a ship,steerswoman,,,steersman,N,the person who steers a ship
